customer,type,number,date,due_date,payment_terms,purchase_order,currency,total,amount_paid,balance,ship_to.name,notes,terms,item,description,quantity,unit_cost,discount,tax,shipping,item_date,item_reference,payment,amount_refunded
"Nigeria High Commission in Dar es Salaam",invoice,NHCD/001.026,"Jul 25, 2026",,,152-091-435,TZS,32039994,0,32039994,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"APC UPS 650VA",,6,450000,0,0,0,,,,
"Nigeria High Commission in Dar es Salaam",invoice,NHCD/001.026,"Jul 25, 2026",,,152-091-435,TZS,32039994,0,32039994,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"EPSON ECOTANK L3250 ",">Print
>Scan
>Copy",6,1369999,0,0,0,,,,
"TINEVIMBO LOGISTICS SHIPPING",invoice,TLSL/002.026,"Jul 16, 2026","Jul 16, 2026",,,TZS,180000,0,180000,,"CRDB BANK
01J2035322200 - BONIFACE BALELE
LIPA MIXX BY YAS
44125355 - AIO TECHNOLOGIES",,"HOSTING (tinevimboshipping.co.tz)","-Unlimited Bandwidth & Email Addresses
-Support for PHP, Node.js, and Python
-3 GB SSD Storage
-1 Core CPU
-2 GB RAM
-1 Website",1,180000,0,0,0,,,,
"0-60 AUTOGARAGE",invoice,0-60AG/002.026,"Aug 11, 2026",,,,TZS,160000,0,160000,,"CRDB BANK
01J2035322200 - BONIFACE BALELE
LIPA MIXX BY YAS
44125355 - AIO TECHNOLOGIES",,"INSPECTION FORM BOOKLETS","-pages; 100
-Material: Carbonized paper",10,16000,0,0,0,,,,
"Tamgo Tanzania",invoice,TTL/001/07.026,"Jul 9, 2026",,,152-091-435,TZS,188800,0,188800,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","Please pay before due date","BUSINESS CARDS","-For: Damian Massenge , Amon Lusekelo, Raymond John Msemwa, Aristides T. Byabato",4,40000,0,28800,0,,,,
"YOHANNES HIGH SCHOOL",invoice,YSC/001.026,"Jul 3, 2026",,,152-091-435,TZS,600000,0,600000,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX

LIPA NO
Mixx By Yas: 44125355
AIO TECHNOLOGIES","Please pay before due date.","School Uniform Logo Embroidery","-Size 9cm x 7cm
-Quality: High
-Stiches : Maximum",200,3000,0,0,0,,,,
"SOFTFINANCE LIMITED",invoice,SFL/002.026,"Jul 1, 2026",,,,TZS,1770000,0,1770000,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"UPGRADING HOSTING - softfinance.co.tz","Unlimited Bandwidth & Email Addresses
Support for PHP, Node.js, and Python
📦60GB + 100 GB SSD Storage",1,1500000,0,270000,0,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"Land form Na.21(a)",,10809,450,0,875529,37096.88,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"File covers",,7206,450,0,583686,24731.25,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"File Tags",,17,65000,0,198900,8427.56,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"Photocopying Paper A4",,50,14000,0,126000,5338.72,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"Village Seal",,3,150000,0,81000,3432.04,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"Printer Cartridge Hp 14A ",-Compatible,4,250000,0,180000,7626.75,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"Registration pen",,0,50000,0,0,0,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"Marker pen permanent type-Water proof ink",,0,5000,0,0,0,,,,
"LAND TENATURE ASSISTANCE",invoice,LTA/1/005.026,"May 19, 2026",,,152091435,TZS,15571865,0,15571865,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH",,"Legal Paper A4","* 5 Bandles (@14,000) = 1 Ream",25,70000,0,315000,13346.81,,,,
"CH Oil Tanzania,",invoice,001.026,"Apr 30, 2026",,,152091435,TZS,3540000,0,3540000,,"CRDB BANK
01J2035322200
BONIFACE BALELE

MIX BY YAS LIPA:
44125355
AIO TECHNOLOGIES","Please pay before due date:","POP UP GAZEBO","Size: 3m x 3m
Printing: High Quality",2,1100000,0,396000,0,,,,
"CH Oil Tanzania,",invoice,001.026,"Apr 30, 2026",,,152091435,TZS,3540000,0,3540000,,"CRDB BANK
01J2035322200
BONIFACE BALELE

MIX BY YAS LIPA:
44125355
AIO TECHNOLOGIES","Please pay before due date:","TEARDROP BANNER","Size: 3.5m
Printing: sublimation",4,200000,0,144000,0,,,,
"SHARP FINANCIAL SERVICES TANZANIA LIMITED",invoice,SFSTL/001.026,"Apr 24, 2026",,,152-091-435,TZS,7440000,0,7440000,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"MACBOOK PRO 14-INCH 2023","M3 Pro CHIP PROCESSOR
18GB MEMORY
1TB SSD STORAGE

1 YEAR WARRANTY",1,5500000,0,990000,950000,,,,
"WEZESHA TANZANIA",invoice,WT/001.2026,"Apr 21, 2026",,,152-091-435,TZS,6175040,0,6175040,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"High Quality Posters","-Size: A2
-Printing: Offset",1476,3000,0,797040,950000,,,,
"Tamgo Tanzania",invoice,TTL/002.2026,"Apr 20, 2026",,,152-091-435,TZS,194700,0,194700,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","Please pay before due date","BUSINESS CARDS","-For: Amon & Agatha",2,40000,0,14400,0,,,,
"Tamgo Tanzania",invoice,TTL/002.2026,"Apr 20, 2026",,,152-091-435,TZS,194700,0,194700,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","Please pay before due date","GATE PASS BOOKLETS",,10,8500,0,15300,0,,,,
"KWALA INDUSTRIAL PARK,",invoice,KIP/005.026,"Mar 20, 2026",,,152-091-435,TZS,21057200,0,21057200,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"Bed Frames ","– (5x6 ft)",6,900000,0,972000,301056.34,,,,
"KWALA INDUSTRIAL PARK,",invoice,KIP/005.026,"Mar 20, 2026",,,152-091-435,TZS,21057200,0,21057200,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"Mattresses ","– (Hotel Standard)",6,600000,0,648000,200704.23,,,,
"KWALA INDUSTRIAL PARK,",invoice,KIP/005.026,"Mar 20, 2026",,,152-091-435,TZS,21057200,0,21057200,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"Office Tables ","–  Approx. 120 cm (L) × 60 cm (W) × 75 cm (H)",6,500000,0,540000,167253.52,,,,
"KWALA INDUSTRIAL PARK,",invoice,KIP/005.026,"Mar 20, 2026",,,152-091-435,TZS,21057200,0,21057200,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"Office Chairs ","– Ergonomic office chair,",6,450000,0,486000,150528.17,,,,
"KWALA INDUSTRIAL PARK,",invoice,KIP/005.026,"Mar 20, 2026",,,152-091-435,TZS,21057200,0,21057200,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"Pillows ","– (Hotel Quality) Microfiber/polyfiber",12,35000,0,75600,23415.49,,,,
"KWALA INDUSTRIAL PARK,",invoice,KIP/005.026,"Mar 20, 2026",,,152-091-435,TZS,21057200,0,21057200,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"Bedsheets ","– (Hotel Standard) Material: Cotton or poly-cotton blend, Color: White",12,100000,0,216000,66901.41,,,,
"KWALA INDUSTRIAL PARK,",invoice,KIP/005.026,"Mar 20, 2026",,,152-091-435,TZS,21057200,0,21057200,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"Bedsheets ","– (Hotel Standard) Material: Cotton or poly-cotton blend, Color: White",6,120000,0,129600,40140.85,,,,
CEETNET,invoice,CN/001.026,"Jan 31, 2026",,,152-091-435,TZS,630000,300000,330000,,"CRDB BANK: 
ACC NO: 01J2035322200
ACC NAME: BONIFACE BALELE
Mixx by Yas Lipa No: 44125355","Please pay full amount before work.",BRANDING,"-Logo Designing
-Letterhead Designing
-Business Cards Designing",1,100000,10000,0,0,,,,
CEETNET,invoice,CN/001.026,"Jan 31, 2026",,,152-091-435,TZS,630000,300000,330000,,"CRDB BANK: 
ACC NO: 01J2035322200
ACC NAME: BONIFACE BALELE
Mixx by Yas Lipa No: 44125355","Please pay full amount before work.","DOMAIN REGISTRATION & HOSTING (WWW.CEETNET.CO.TZ)","-Unlimited Bandwidth & Email Addresses
-Support for PHP, Node.js, and Python
-5 GB SSD Storage",1,200000,20000,0,0,,,,
CEETNET,invoice,CN/001.026,"Jan 31, 2026",,,152-091-435,TZS,630000,300000,330000,,"CRDB BANK: 
ACC NO: 01J2035322200
ACC NAME: BONIFACE BALELE
Mixx by Yas Lipa No: 44125355","Please pay full amount before work.","WEBSITE DESIGNING","-Contents creation
-Configuration
-Designing and Editing
-Launching website.
-Support",1,400000,40000,0,0,,,,
"TANESCO PWANI",invoice,TNSC-P/001/026,"Jan 8, 2026",,,178-427-369,TZS,5504700,0,5504700,,,"Please let us know if you inquire any clarifications.","TrustFire T90R 4800 Lumen LED Torch",,1,900000,0,162000,0,,,,
"TANESCO PWANI",invoice,TNSC-P/001/026,"Jan 8, 2026",,,178-427-369,TZS,5504700,0,5504700,,,"Please let us know if you inquire any clarifications.","Amprobe TIC 300 PRO High Voltage Detector Kit",,1,3000000,0,540000,0,,,,
"TANESCO PWANI",invoice,TNSC-P/001/026,"Jan 8, 2026",,,178-427-369,TZS,5504700,0,5504700,,,"Please let us know if you inquire any clarifications.","Foldable Ladder 4x3",,1,450000,0,81000,0,,,,
"TANESCO PWANI",invoice,TNSC-P/001/026,"Jan 8, 2026",,,178-427-369,TZS,5504700,0,5504700,,,"Please let us know if you inquire any clarifications.","Tronic Flood Light 200w",,1,250000,0,45000,0,,,,
"TANESCO PWANI",invoice,TNSC-P/001/026,"Jan 8, 2026",,,178-427-369,TZS,5504700,0,5504700,,,"Please let us know if you inquire any clarifications.","Tronic Photocell",,1,50000,0,9000,0,,,,
"TANESCO PWANI",invoice,TNSC-P/001/026,"Jan 8, 2026",,,178-427-369,TZS,5504700,0,5504700,,,"Please let us know if you inquire any clarifications.","4-ft fluorescent lamp + housing",,1,15000,0,2700,0,,,,
"Mkurugenzi,",invoice,003/12.025,"Mar 6, 2026",,,152091435,TZS,75837998.2,0,75837998.2,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","The total amount is VAT inclusive.","HP 290 g9 Desktop","•INTEL CORE i3
•8GB RAM 
•1TB HDD
•OS: DOS
•21.5"" LED MONITOR /MOUSE/ KEYBOARD 1 YEAR WARRANTY",45,1059322,0,8580508.2,0,,,,
"Mkurugenzi,",invoice,003/12.025,"Mar 6, 2026",,,152091435,TZS,75837998.2,0,75837998.2,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","The total amount is VAT inclusive.","HP OmniBook 5 Flip 14-FP i5 Core5 Touch x360 (Laptop)","•Intel Core 5 120U 
• 8GB LPDDR5 RAM 
• 512GB PCIe Gen4 SSD 
• 14″ 2K Touchscreen",6,1500000,0,1620000,0,,,,
"Mkurugenzi,",invoice,003/12.025,"Mar 6, 2026",,,152091435,TZS,75837998.2,0,75837998.2,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","The total amount is VAT inclusive.","HP OmniBook X Flip 14-FP Core 7 Touch x360 (Laptop)","•with 14"" WUXGA OLED Glossy Touch Display, 
•Core i7-13620, 
•16GB RAM,
•1TB SSD",2,3800000,0,1368000,0,,,,
"Tanzania Shipping Agency Corporation (TASAC)",invoice,TASAC/011/025,"Nov 14, 2025",,,152-091-435,TZS,9735000,0,9735000,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"PRINTING TASAC QUALITY POLICY","Size: A2
Material: High Quality POP",80,18750,0,270000,0,,,,
"Tanzania Shipping Agency Corporation (TASAC)",invoice,TASAC/011/025,"Nov 14, 2025",,,152-091-435,TZS,9735000,0,9735000,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"SNAP FRAME","Size: A2 (42cm x 54.5)",80,84375,0,1215000,0,,,,
"Tobacco Cooperative Joint Enterprises",invoice,TCJE/001.025,"Jul 10, 2025",,,152-091-435,TZS,15576000,0,15576000,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","Please pay before due date.","HP laptop 250 G10","-core i5-13th gen
-8Gb memory
-512GbSSD
-15,6’ display
-Win 11
-1 year warranty",6,2200000,0,2376000,0,,,,
"SELF MICROFINANCE",invoice,T-SMF/002.025,"Oct 27, 2025",40-047757-A,152-091-435,TR200/2024/2025/G/62,TZS,53978392,0,53978392,,,,"HPE DL380 Gen10 Server",,1,31186400,0,5613552,0,,,,
"SELF MICROFINANCE",invoice,T-SMF/002.025,"Oct 27, 2025",40-047757-A,152-091-435,TR200/2024/2025/G/62,TZS,53978392,0,53978392,,,,"Cisco C1300-24FP-4G PoE Switch",,5,2911600,0,2620440,0,,,,
"AMCOS MBWEKO",invoice,AMS/001/025,"Sep 9, 2025",,,,TZS,1211860,0,1211860,,"CRDB Bank
01J2035322200 - Boniface Balele
MPESA: 0754 500 541
MIX Yas: 0717 420 340","Please pay before due date.","CLOUD HOSTING","-5GB Storage
-100GB Bandwidth
-Unlimited eMails",1,325000,0,58500,0,,,,
"AMCOS MBWEKO",invoice,AMS/001/025,"Sep 9, 2025",,,,TZS,1211860,0,1211860,,"CRDB Bank
01J2035322200 - Boniface Balele
MPESA: 0754 500 541
MIX Yas: 0717 420 340","Please pay before due date.","WEBSITE DESIGN","-Mobile responsive
-5 to 10pages",1,600000,0,108000,0,,,,
"AMCOS MBWEKO",invoice,AMS/001/025,"Sep 9, 2025",,,,TZS,1211860,0,1211860,,"CRDB Bank
01J2035322200 - Boniface Balele
MPESA: 0754 500 541
MIX Yas: 0717 420 340","Please pay before due date.","RECEIPT BOOKS","-3 copies",4,8500,0,6120,0,,,,
"AMCOS MBWEKO",invoice,AMS/001/025,"Sep 9, 2025",,,,TZS,1211860,0,1211860,,"CRDB Bank
01J2035322200 - Boniface Balele
MPESA: 0754 500 541
MIX Yas: 0717 420 340","Please pay before due date.","PAYMENT VOUCHER","-3 copies",4,8500,0,6120,0,,,,
"AMCOS MBWEKO",invoice,AMS/001/025,"Sep 9, 2025",,,,TZS,1211860,0,1211860,,"CRDB Bank
01J2035322200 - Boniface Balele
MPESA: 0754 500 541
MIX Yas: 0717 420 340","Please pay before due date.","RECEIVED NOTE","-3 copies",4,8500,0,6120,0,,,,
"Becyma Quality Construction",invoice,BQCL/010.020,"Sep 17, 2020",,,,TZS,1475000,0,1475000,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"Total Welding Machine MMA 60KVA","-Brand: Total",1,1250000,0,225000,0,,,,
"DILOS INVESTMENT",invoice,DI/002/09.025,"Sep 29, 2025",,,,TZS,61950000,0,61950000,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","Please Pay before due date","HP OmniBook  5 Flip core 7 ","16gb memory
512Gb storage
14-inch Display",30,1750000,0,9450000,0,,,,
"SOLVERIS CONSULTING LTD",invoice,SVL/001/09.2025,"Sep 25, 2025",,,152-091-435,TZS,16177800,0,16177800,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"PHOTOCOPY PAPERS A4",,150,15000,0,405000,0,,,,
"SOLVERIS CONSULTING LTD",invoice,SVL/001/09.2025,"Sep 25, 2025",,,152-091-435,TZS,16177800,0,16177800,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"ORIGINAL HP TONNER 14A",,9,1100000,0,1782000,0,,,,
"SOLVERIS CONSULTING LTD",invoice,SVL/001/09.2025,"Sep 25, 2025",,,152-091-435,TZS,16177800,0,16177800,,"BANK NAME : STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"LEGAL PAPERS","Color: Blue & Green",130,12000,0,280800,0,,,,
"KWALA INDUSTRIAL PARK LTD P.O.BOX 10848，DAR ES SALAAM TANZANIA",invoice,KIPL/001-.026,"Jun 16, 2026",,,152-091-435,TZS,13744900,0,13744900,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"Ceilling Fan Evernal with complete regulator and all mounting accessories",,21,430000,0,1625400,571777.48,,,,
"KWALA INDUSTRIAL PARK LTD P.O.BOX 10848，DAR ES SALAAM TANZANIA",invoice,KIPL/001-.026,"Jun 16, 2026",,,152-091-435,TZS,13744900,0,13744900,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX",,"15 Litres Ariston Type water heaters",,9,225000,0,364500,128222.52,,,,
